"corso_codice","corso_descrizione","scuola_long","annopubblicazione","p_fuoriregione","p_laureatiincorso","p_esperienzaestero","p_soddisfatti","p_soddisfatti_italia","p_lavorano","p_lavorano_italia","p_studiano","p_studiano_italia","annoaccademico","immatricolabile","url","campus","sededidattica","scuola","tipologia","durata","internazionale","internazionale_titolo","internazionale_lingua","lingue","accesso"
897,"Direzione aziendale","Economia, Management e Statistica",2017,0.46,0.83,0.23,0.94,0.92,0.65,0.59,0.15,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0897","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"True","","Erogato in lingua straniera (solo alcuni curricula)","Italiano Inglese","numero chiuso"
899,"Economia e diritto","Economia, Management e Statistica",2017,0.63,0.69,0.05,0.89,0.89,0.71,0.52,0.12,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0899","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
900,"Economia e professione","Economia, Management e Statistica",2017,0.44,0.9,0.07,0.93,0.92,0.6,0.59,0.3,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0900","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
901,"Finanza, intermediari e mercati","Economia, Management e Statistica",2017,0.72,0.85,0.09,0.83,0.88,0.78,0.69,0,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0901","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
902,"Innovation and organization of culture and the arts","Economia, Management e Statistica",2017,0.84,0.89,0.41,0.95,0.86,0.47,0.5,0,0.09,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0902","Bologna","Bologna","Economia, Management e Statistica","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","numero chiuso"
9021,"Advanced design","Ingegneria e Architettura",2017,0.5,NA,NA,NA,0.82,NA,0.61,NA,0.08,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9021","Bologna","Bologna","Ingegneria e Architettura","Laurea Magistrale",2,"False","","","Italiano","numero chiuso"
9022,"Fashion culture and management","Lettere e Beni culturali",2017,0.74,0.87,NA,0.84,0.87,0.68,0.48,0.05,0.14,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9022","Rimini","Rimini","Lettere e Beni culturali","Laurea Magistrale",2,"True","","Erogato in lingua straniera","Inglese","libero accesso con verifica dell'adeguatezza della preparazione"
905,"Economia e commercio","Economia, Management e Statistica",2017,0.39,0.7,0.06,0.94,0.92,0.59,0.59,0.25,0.16,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0905","Forlì","Forlì","Economia, Management e Statistica","Laurea Magistrale",2,"True","Titolo multiplo","","Italiano","libero accesso con verifica dell'adeguatezza della preparazione"
915,"Consulente del lavoro e delle relazioni aziendali","Giurisprudenza",2017,0.43,0.23,0.01,0.89,0.89,0.5,0.51,0.28,0.3,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0915","Bologna","Bologna","Giurisprudenza","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
916,"Giurista d'impresa e delle amministrazioni pubbliche","Giurisprudenza",2017,0.2,0.38,NA,0.91,0.89,0.67,0.51,0.18,0.3,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/0916","Ravenna","Ravenna","Giurisprudenza","Laurea",3,"False","","","Italiano","libero accesso con verifica delle conoscenze"
9174,"Specialized translation","Lingue e Letterature, Traduzione e Interpretazione",2017,0.75,0.84,0.34,0.94,0.86,0.7,0.66,0.09,0.1,"2016/2017","True","http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9174","Forlì","Forlì","Lingue e Letterature, Traduzione e Interpretazione","Laurea Magistrale",2,"True","Titolo multiplo","Erogato in lingua straniera","Inglese","numero chiuso"
